episode,reward,steps,success,collision,loss,epsilon
236,10.000000000000055,200,0.0,0.0,78.2248440694809,0.8886698277259029
237,8.000000000000016,200,0.0,0.0,90.92868082642555,0.88822549281204
238,31.99999999999994,200,0.0,0.0,86.13239486400037,0.887781380065634
239,-7.999999999999938,200,0.0,0.0,108.89423039525747,0.8873374893756012
240,-102.8,28,0.0,1.0,106.32914544748408,0.8868938206309135
241,-13.999999999999991,200,0.0,0.0,81.76252751674502,0.8864503737205981
242,-78.90000000000002,159,0.0,1.0,104.4587091123158,0.8860071485337379
243,-88.79999999999998,68,0.0,1.0,79.71431098549681,0.885564144959471
244,-113.59999999999995,136,0.0,1.0,86.88815250488766,0.8851213628869913
245,17.999999999999996,200,0.0,0.0,76.11922463946044,0.8846788022055478
246,14.000000000000018,200,0.0,0.0,67.06461019821465,0.8842364628044451
247,27.999999999999844,200,0.0,0.0,70.3620802550763,0.883794344573043
248,3.4638958368304884e-14,200,0.0,0.0,95.1276994010061,0.8833524474007565
249,-87.09999999999998,61,0.0,1.0,87.88117022543658,0.8829107711770562
250,-80.39999999999998,144,0.0,1.0,76.26703226224829,0.8824693157914677
251,-97.0,170,0.0,1.0,72.08162806538098,0.882028081133572
252,-96.59999999999997,146,0.0,1.0,107.02762067251622,0.8815870670930053
253,-91.29999999999998,123,0.0,1.0,83.6503461029956,0.8811462735594588
254,-73.20000000000005,112,0.0,1.0,114.67172200964498,0.8807057004226791
255,-116.89999999999998,79,0.0,1.0,87.46335584528839,0.8802653475724679
256,12.00000000000001,200,0.0,0.0,70.03074516590685,0.8798252148986817
257,-117.39999999999999,74,0.0,1.0,115.0408995553247,0.8793853022912325
258,-82.29999999999997,153,0.0,1.0,65.20705476671068,0.8789456096400869
259,3.197442310920451e-14,200,0.0,0.0,94.95813485857099,0.8785061368352669
260,-78.2,182,0.0,1.0,95.92243995194087,0.8780668837668493
261,-100.89999999999999,59,0.0,1.0,115.21273335309353,0.8776278503249659
262,-67.20000000000005,132,0.0,1.0,100.08925933390856,0.8771890363998035
263,-7.999999999999979,200,0.0,0.0,84.19123925959691,0.8767504418816037
264,-96.49999999999997,135,0.0,1.0,91.61964107484177,0.876312066660663
265,12.000000000000025,200,0.0,0.0,77.03597734637559,0.8758739106273327
266,8.000000000000016,200,0.0,0.0,81.97320253813639,0.8754359736720191
267,-112.69999999999999,177,0.0,1.0,61.46203569916345,0.8749982556851831
268,-101.8,58,0.0,1.0,83.79486365654859,0.8745607565573406
269,-116.19999999999999,82,0.0,1.0,71.69902580731163,0.8741234761790619
270,-108.5,55,0.0,1.0,143.16425946991552,0.8736864144409725
271,-9.99999999999995,200,0.0,0.0,100.60639024756848,0.873249571233752
272,-111.69999999999999,127,0.0,1.0,102.94098011093347,0.8728129464481352
273,8.00000000000003,200,0.0,0.0,96.92626819759607,0.8723765399749112
274,-115.29999999999998,83,0.0,1.0,94.6696465220078,0.8719403517049238
275,17.99999999999989,200,0.0,0.0,110.71233049213886,0.8715043815290714
276,4.00000000000002,200,0.0,0.0,82.15600956540555,0.8710686293383069
277,-113.09999999999998,41,0.0,1.0,60.58645274471946,0.8706330950236377
278,14.000000000000055,200,0.0,0.0,94.01982718428597,0.870197778476126
279,-95.89999999999998,89,0.0,1.0,98.00529851337497,0.869762679586888
280,-1.9999999999999956,200,0.0,0.0,76.7801443253085,0.8693277982470946
281,4.0000000000000036,200,0.0,0.0,79.59183899633587,0.8688931343479711
282,-114.29999999999998,93,0.0,1.0,78.18262574357051,0.8684586877807972
283,-85.69999999999997,187,0.0,1.0,94.52744328095154,0.8680244584369068
284,10.000000000000012,200,0.0,0.0,84.08778754938393,0.8675904462076884
285,-97.2,112,0.0,1.0,80.11610645122293,0.8671566509845846
286,16.000000000000036,200,0.0,0.0,96.24435518234968,0.8667230726590923
287,23.999999999999893,200,0.0,0.0,100.6120646743849,0.8662897111227629
288,12.00000000000001,200,0.0,0.0,83.66805322758853,0.8658565662672015
289,29.999999999999936,200,0.0,0.0,86.21564831297844,0.865423637984068
290,-110.69999999999999,37,0.0,1.0,46.501646900901925,0.864990926165076
291,6.0000000000000195,200,0.0,0.0,87.3673121230118,0.8645584307019936
292,21.999999999999975,200,0.0,0.0,91.88086455944925,0.8641261514866426
293,19.999999999999964,200,0.0,0.0,105.85200262624771,0.8636940884108993
294,-95.29999999999997,143,0.0,1.0,100.65150355214215,0.8632622413666939
295,10.000000000000037,200,0.0,0.0,80.65226685255766,0.8628306102460106
296,-102.5,55,0.0,1.0,78.50049977410923,0.8623991949408877
297,1.865174681370263e-14,200,0.0,0.0,81.74547090478241,0.8619679953434173
298,13.999999999999922,200,0.0,0.0,93.03657152215018,0.8615370113457457
299,20.000000000000018,200,0.0,0.0,99.4374899270758,0.8611062428400729
300,-107.99999999999999,100,0.0,1.0,96.58444002717734,0.8606756897186528
301,10.000000000000021,200,0.0,0.0,79.728992146831,0.8602453518737936
302,17.999999999999904,200,0.0,0.0,96.60207283563912,0.8598152291978567
303,23.99999999999986,200,0.0,0.0,89.98448244296014,0.8593853215832578
304,41.99999999999983,200,0.0,0.0,112.07390498105437,0.8589556289224661
305,-111.29999999999998,63,0.0,1.0,61.048397414977586,0.8585261511080049
306,-97.5,65,0.0,1.0,84.7884988436332,0.858096888032451
307,-89.69999999999997,87,0.0,1.0,98.87887749889458,0.8576678395884348
308,-103.5,105,0.0,1.0,73.99688540363596,0.8572390056686406
309,-92.69999999999997,117,0.0,1.0,80.51553312784586,0.8568103861658064
310,16.000000000000036,200,0.0,0.0,100.02823936544358,0.8563819809727236
311,25.999999999999932,200,0.0,0.0,108.3790187527053,0.8559537899822373
312,-100.0,120,0.0,1.0,86.81032242514193,0.8555258130872462
313,6.000000000000034,200,0.0,0.0,73.7026809353754,0.8550980501807026
314,19.99999999999993,200,0.0,0.0,89.61235099611804,0.8546705011556123
315,2.653433028854124e-14,200,0.0,0.0,83.73783175718039,0.8542431659050345
316,-81.80000000000004,138,0.0,1.0,75.42371352335465,0.853816044322082
317,10.000000000000052,200,0.0,0.0,82.54132852967828,0.8533891362999211
318,-108.59999999999997,146,0.0,1.0,98.55040374860066,0.8529624417317712
319,-86.39999999999998,64,0.0,1.0,66.55051439377712,0.8525359605109053
320,6.000000000000007,200,0.0,0.0,78.95591781817376,0.8521096925306499
321,-4.884981308350689e-15,200,0.0,0.0,72.1637591056712,0.8516836376843847
322,-101.49999999999999,145,0.0,1.0,105.93775560681162,0.8512577958655425
323,-99.69999999999999,47,0.0,1.0,124.38339134163044,0.8508321669676098
324,-97.99999999999997,180,0.0,1.0,97.94655458175887,0.850406750884126
325,37.99999999999988,200,0.0,0.0,77.78023828305304,0.8499815475086839
326,-89.30000000000004,103,0.0,1.0,76.7137444032519,0.8495565567349297
327,-107.69999999999999,67,0.0,1.0,100.26278713809799,0.8491317784565623
328,19.999999999999844,200,0.0,0.0,79.08608236290515,0.8487072125673341
329,-105.9,109,0.0,1.0,66.64664642998112,0.8482828589610505
330,-91.8,118,0.0,1.0,89.47717035984842,0.84785871753157
331,15.99999999999997,200,0.0,0.0,99.99377431545406,0.8474347881728043
332,4.241051954068098e-14,200,0.0,0.0,130.3229554438591,0.847011070778718
333,16.000000000000025,200,0.0,0.0,89.10775369377806,0.8465875652433287
334,-67.70000000000002,127,0.0,1.0,89.05901155092819,0.846164271460707
335,-9.99999999999999,200,0.0,0.0,82.30311345346271,0.8457411893249768
336,25.999999999999858,200,0.0,0.0,117.91487222930417,0.8453183187303144
337,-105.1,101,0.0,1.0,96.20123409096263,0.8448956595709493
338,6.0000000000000435,200,0.0,0.0,125.15316396817565,0.8444732117411639
339,-101.69999999999999,67,0.0,1.0,56.89675147748038,0.8440509751352934
340,-100.49999999999997,135,0.0,1.0,107.9642416347784,0.8436289496477257
341,-88.99999999999999,70,0.0,1.0,63.50650615766644,0.8432071351729019
342,-95.89999999999999,69,0.0,1.0,112.89672636251518,0.8427855316053156
343,-92.79999999999998,108,0.0,1.0,107.86284198611975,0.8423641388395129
344,8.000000000000052,200,0.0,0.0,89.43950189810246,0.8419429567700932
345,19.999999999999996,200,0.0,0.0,65.65612854987383,0.8415219852917082
346,-98.8,28,0.0,1.0,94.34902321281177,0.8411012242990624
